time=2026-08-12T07:58:02.714-05:00 level=INFO msg="control plane listening" addr=http://127.0.0.1:18080 ui=true metrics=/metrics auth=false tls=false
time=2026-08-12T07:58:02.714-05:00 level=WARN msg="control plane is UNAUTHENTICATED (bound to loopback); set --token or RUNEWARD_AUTHZ_FILE before exposing it"
time=2026-08-12T07:58:02.714-05:00 level=INFO msg="telemetry disabled (opt in with RUNEWARD_TELEMETRY=1 and RUNEWARD_TELEMETRY_ENDPOINT)"
time=2026-08-12T07:58:03.659-05:00 level=INFO msg=request method=POST path=/v1/cohorts status=201 duration_ms=809
time=2026-08-12T07:58:03.695-05:00 level=INFO msg=request method=GET path=/v1/cohorts/c42d8ed4db5f1a972479920162136acf status=200 duration_ms=0
time=2026-08-12T07:58:04.034-05:00 level=INFO msg=request method=POST path=/v1/citadels/d904ccdffeb67e2e4cd05cbd45233182/shell/exec status=200 duration_ms=217
time=2026-08-12T07:58:24.279-05:00 level=INFO msg=request method=GET path=/ status=200 duration_ms=2
time=2026-08-12T07:58:24.320-05:00 level=INFO msg=request method=GET path=/style.css status=200 duration_ms=0
time=2026-08-12T07:58:24.321-05:00 level=INFO msg=request method=GET path=/logo.png status=200 duration_ms=0
time=2026-08-12T07:58:24.368-05:00 level=INFO msg=request method=GET path=/app.js status=200 duration_ms=0
time=2026-08-12T07:58:24.371-05:00 level=INFO msg=request method=GET path=/v1/whoami status=200 duration_ms=0
time=2026-08-12T07:58:24.385-05:00 level=INFO msg=request method=GET path=/v1/charters status=200 duration_ms=6
time=2026-08-12T07:58:24.553-05:00 level=INFO msg=request method=GET path=/v1/readiness status=200 duration_ms=164
time=2026-08-12T07:58:24.555-05:00 level=INFO msg=request method=GET path=/v1/citadels status=200 duration_ms=0
time=2026-08-12T07:58:24.555-05:00 level=INFO msg=request method=GET path=/v1/conclave status=200 duration_ms=0
time=2026-08-12T07:58:24.555-05:00 level=INFO msg=request method=GET path=/v1/chronicle/verify status=200 duration_ms=0
time=2026-08-12T07:58:24.596-05:00 level=INFO msg=request method=GET path=/v1/readiness status=200 duration_ms=38
time=2026-08-12T07:58:27.558-05:00 level=INFO msg=request method=GET path=/v1/citadels status=200 duration_ms=0
time=2026-08-12T07:58:27.558-05:00 level=INFO msg=request method=GET path=/v1/conclave status=200 duration_ms=0
time=2026-08-12T07:58:27.560-05:00 level=INFO msg=request method=GET path=/v1/chronicle/verify status=200 duration_ms=2
time=2026-08-12T07:58:27.621-05:00 level=INFO msg=request method=GET path=/v1/readiness status=200 duration_ms=59
time=2026-08-12T07:58:27.720-05:00 level=INFO msg=request method=GET path=/v1/cohorts status=200 duration_ms=0
time=2026-08-12T07:58:28.872-05:00 level=INFO msg=request method=GET path=/v1/cohorts/c42d8ed4db5f1a972479920162136acf status=200 duration_ms=0
time=2026-08-12T07:58:28.872-05:00 level=INFO msg=request method=GET path=/v1/cohorts/c42d8ed4db5f1a972479920162136acf/tasks status=200 duration_ms=0
time=2026-08-12T07:58:28.872-05:00 level=INFO msg=request method=GET path=/v1/agent-sessions status=200 duration_ms=0
time=2026-08-12T07:58:30.556-05:00 level=INFO msg=request method=GET path=/v1/citadels status=200 duration_ms=0
time=2026-08-12T07:58:30.556-05:00 level=INFO msg=request method=GET path=/v1/conclave status=200 duration_ms=0
time=2026-08-12T07:58:30.557-05:00 level=INFO msg=request method=GET path=/v1/chronicle/verify status=200 duration_ms=0
time=2026-08-12T07:58:30.557-05:00 level=INFO msg=request method=GET path=/v1/cohorts status=200 duration_ms=0
time=2026-08-12T07:58:30.558-05:00 level=INFO msg=request method=GET path=/v1/cohorts/c42d8ed4db5f1a972479920162136acf status=200 duration_ms=0
time=2026-08-12T07:58:30.558-05:00 level=INFO msg=request method=GET path=/v1/cohorts/c42d8ed4db5f1a972479920162136acf/tasks status=200 duration_ms=0
time=2026-08-12T07:58:30.559-05:00 level=INFO msg=request method=GET path=/v1/agent-sessions status=200 duration_ms=0
time=2026-08-12T07:58:30.671-05:00 level=INFO msg=request method=GET path=/v1/readiness status=200 duration_ms=113
time=2026-08-12T07:58:33.559-05:00 level=INFO msg=request method=GET path=/v1/citadels status=200 duration_ms=0
time=2026-08-12T07:58:33.562-05:00 level=INFO msg=request method=GET path=/v1/conclave status=200 duration_ms=3
time=2026-08-12T07:58:33.565-05:00 level=INFO msg=request method=GET path=/v1/cohorts status=200 duration_ms=5
time=2026-08-12T07:58:33.565-05:00 level=INFO msg=request method=GET path=/v1/chronicle/verify status=200 duration_ms=6
time=2026-08-12T07:58:33.567-05:00 level=INFO msg=request method=GET path=/v1/cohorts/c42d8ed4db5f1a972479920162136acf/tasks status=200 duration_ms=0
time=2026-08-12T07:58:33.567-05:00 level=INFO msg=request method=GET path=/v1/agent-sessions status=200 duration_ms=0
time=2026-08-12T07:58:33.567-05:00 level=INFO msg=request method=GET path=/v1/cohorts/c42d8ed4db5f1a972479920162136acf status=200 duration_ms=0
time=2026-08-12T07:58:33.617-05:00 level=INFO msg=request method=GET path=/v1/readiness status=200 duration_ms=54
time=2026-08-12T07:58:36.557-05:00 level=INFO msg=request method=GET path=/v1/citadels status=200 duration_ms=0
time=2026-08-12T07:58:36.557-05:00 level=INFO msg=request method=GET path=/v1/cohorts status=200 duration_ms=0
time=2026-08-12T07:58:36.557-05:00 level=INFO msg=request method=GET path=/v1/conclave status=200 duration_ms=0
time=2026-08-12T07:58:36.557-05:00 level=INFO msg=request method=GET path=/v1/chronicle/verify status=200 duration_ms=0
time=2026-08-12T07:58:36.559-05:00 level=INFO msg=request method=GET path=/v1/cohorts/c42d8ed4db5f1a972479920162136acf status=200 duration_ms=0
time=2026-08-12T07:58:36.559-05:00 level=INFO msg=request method=GET path=/v1/cohorts/c42d8ed4db5f1a972479920162136acf/tasks status=200 duration_ms=0
time=2026-08-12T07:58:36.559-05:00 level=INFO msg=request method=GET path=/v1/agent-sessions status=200 duration_ms=0
